record,record_id,date,time,lat,long,ew,sact,speed,sdir,cld,prec,wspeed,wdir,atmp,aprs,sste,stmp,sal,depth,obs,csmeth,month,seasn,long360,latcell,longecell
1,1083001,1975-10-15T00:00:00Z,1899-12-31T14:00:00Z,-45.916666666666664,165.4,E,1,15,NA,2,8,5,NA,NA,NA,5,NA,NA,NA,JEFF,F,10,spring,165.4,-45.5,165.5
2,1084001,1975-11-03T00:00:00Z,1899-12-31T13:10:00Z,-35.53333333333333,125,E,1,14,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,125,-35.5,125.5
3,1084002,1975-11-04T00:00:00Z,1899-12-31T14:20:00Z,-37.666666666666664,132.25,E,1,14.5,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,132.25,-37.5,132.5
4,1084003,1975-11-08T00:00:00Z,1899-12-31T16:15:00Z,-40,162,E,1,14.6,NA,1,2,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,162,-40.5,162.5
5,1086001,1975-11-16T00:00:00Z,1899-12-31T12:30:00Z,-36.166666666666664,174.91666666666666,E,1,15,NA,1,0,0,NA,NA,NA,1,NA,NA,NA,JEFF,F,11,spring,174.91666666666666,-36.5,174.5
6,1086002,1975-11-16T00:00:00Z,1899-12-31T15:30:00Z,-35.416666666666664,174.56666666666666,E,1,15,NA,2,0,3,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,174.56666666666666,-35.5,174.5
7,1086003,1975-11-17T00:00:00Z,1899-12-31T14:30:00Z,-35.25,168,E,1,15,NA,1,8,3,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,168,-35.5,168.5
8,1086004,1975-11-17T00:00:00Z,1899-12-31T16:30:00Z,-35.3,167.33333333333334,E,1,15,NA,1,8,2,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,167.33333333333334,-35.5,167.5
9,1086005,1975-11-18T00:00:00Z,1899-12-31T14:30:00Z,-36.5,161,E,1,15,NA,1,0,3,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,161,-36.5,161.5
10,1086006,1975-11-18T00:00:00Z,1899-12-31T16:30:00Z,-36.333333333333336,160.5,E,1,15,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,160.5,-36.5,160.5
11,1086007,1975-11-20T00:00:00Z,1899-12-31T12:00:00Z,-39.18333333333333,146.28333333333333,E,1,15,NA,2,0,7,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,146.28333333333333,-39.5,146.5
12,1087001,1975-11-22T00:00:00Z,1899-12-31T14:00:00Z,NA,NA,NA,1,15,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,NA,NA,NA
13,1087002,1975-11-23T00:00:00Z,1899-12-31T14:30:00Z,-39.666666666666664,154.16666666666666,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,154.16666666666666,-39.5,154.5
14,1087003,1975-11-23T00:00:00Z,1899-12-31T16:00:00Z,-39.666666666666664,155,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,155,-39.5,155.5
15,1087004,1975-11-24T00:00:00Z,1899-12-31T12:00:00Z,-39.85,161.93333333333334,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,161.93333333333334,-39.5,161.5
16,1087005,1975-11-24T00:00:00Z,1899-12-31T14:00:00Z,-39.93333333333333,162.08333333333334,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,162.08333333333334,-39.5,162.5
17,1087006,1975-11-24T00:00:00Z,1899-12-31T16:00:00Z,-40,164,E,1,15,NA,2,0,6,NA,NA,NA,5,NA,NA,NA,JEFF,F,11,spring,164,-40.5,164.5
18,1087007,1975-11-24T00:00:00Z,1899-12-31T18:00:00Z,-40,NA,NA,1,15,NA,1,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,NA,-40.5,NA
19,1087008,1975-11-25T00:00:00Z,1899-12-31T10:00:00Z,-40.1,167.5,E,1,15,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,167.5,-40.5,167.5
20,1087009,1975-11-25T00:00:00Z,1899-12-31T13:00:00Z,-40.166666666666664,168.66666666666666,E,1,15,NA,2,0,5,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,168.66666666666666,-40.5,168.5
21,1087010,1975-11-25T00:00:00Z,1899-12-31T14:00:00Z,-40.2,169.08333333333334,E,1,15,NA,2,0,4,NA,NA,NA,4,NA,NA,NA,JEFF,F,11,spring,169.08333333333334,-40.5,169.5
22,1087011,1975-11-25T00:00:00Z,1899-12-31T15:20:00Z,-40.21666666666667,169.5,E,1,15,NA,2,0,4,NA,NA,NA,3,NA,NA,NA,JEFF,F,11,spring,169.5,-40.5,169.5
23,1088001,1975-11-09T00:00:00Z,1899-12-31T16:50:00Z,-33,152,E,1,10,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,152,-33.5,152.5
24,1088002,1975-11-09T00:00:00Z,1899-12-31T18:25:00Z,-33,152,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,152,-33.5,152.5
25,1088003,1975-11-09T00:00:00Z,NA,-34,152,E,1,10,NA,2,0,3,NA,NA,NA,4,NA,NA,NA,NESF,F,11,spring,152,-34.5,152.5
26,1088004,1975-11-10T00:00:00Z,1899-12-31T07:15:00Z,-35,154,E,1,11,NA,1,0,2,NA,NA,NA,3,NA,NA,NA,NESF,F,11,spring,154,-35.5,154.5
